Blog	four	looking	second	here	kids	reports	music	until	want	feature	wrong	series	re	wasn	service	needed	project	came	than	best	country	asked	much	life	worked	things	had	easy	possible	right	old	people	support	call	happy	devices	time	team	along	love	working	such	data	so	years	didn	internet	quite	open	city	future	take	ways	going	where	many	wants	photos	technology	being	around	favorite	mean	her	complete	ad	am	having	tv	large	small	full	hours	experience	via	company	learn	information	its	always	found	really	self	also	play	plan	sometimes	microsoft	set	see	last	whole	community	recent	person	couple	d	continue	anything	into	link	line	posted	up	us	ago	young	try	video	let	great	makes	next	process	high	allow	could	start	system	haven	bring	should	hope	move	means	stuff	email	ve	off	less	web	government	five	become	does	doing	problem	worth	told	word	work	interview	after	office	then	them	network	another	john	do	away	com	air	photo	thanks	night	security	post	months	way	reality	update	together	change	live	car	heard	write	product	still	half	now	down	year	happen	space	shows	care	yourself	friend	online	only	between	article	comes	these	media	thinking	real	read	early	amp	business	lot	trying	building	month	very	learned	family	put	takes	almost	taken	site	history	help	soon	actually	beyond	event	since	reason	ask	american	clear	latest	pretty	during	x	close	won	probably	both	else	look	while	used	user	game	some	run	within	doesn	youtube	go	facebook	click	started	point	links	software	including	him	front	special	keep	exactly	need	able	based	course	she	written	police	well	page	twitter	home	he	stories	star	friends	using	companies	force	likely	even	tips	ever	never	tell	room	give	answer	before	personal	better	weeks	went	side	content	isn	matter	mind	seen	don	m	stop	bad	said	against	appeared	three	website	say	if	make	left	human	yet	deal	popular	super	finally	did	making	may	man	maybe	talk	nbsp	group	interesting	morning	earlier	thing	think	first	fast	little	anyone	were	paid	shot	show	behind	black	get	reading	enough	across	according	mark	those	different	pay	same	running	money	either	videos	again	students	important	u	starting	public	search	two	share	needs	through	late	good	everyone	house	hard	idea	members	done	least	part	believe	build	most	services	find	please	simple	create	bill	fun	itself	spent	spend	world	source	big	bit	google	often	back	single	entire	giving	access	others	later	themselves	ll	day	text	value	thought	add	like	happens	buy	minutes	original	under	every	school	voice	would	phone	must	me	times	end	over	writing	each	got	free	wanted	days	already	top	too	took	past	though	watch	news	games	been	several	social	everything	hear	trip	no	when	level	goes	water	today	happened	name	turn	place	coming	white	any	ideas	sure	state	college	come	case	myself	someone	check	week	without	seems	blog	or	there	follow	program	woman	worse	far	list	design	version	known	rather	short	might	wouldn	number	feel	says	story	kind	nothing	his	wrote	art	android	recently	c	questions	question	long	called	users	once	issues	include	apple	app	use	few	women	something	instead	looks	our	out	control	york	their	which	who	why	view	available	job	gets	other	smart	know	press	january	because	getting	own	apps	made	whether	record	book
Schneier on Security	1	1	0	3	0	0	0	1	7	0	1	0	7	0	0	1	0	1	3	0	0	0	2	1	1	8	2	0	1	6	1	8	0	1	0	6	2	2	0	0	0	0	13	3	2	1	15	0	1	0	0	1	0	1	1	1	0	1	0	3	2	0	0	2	1	1	0	0	0	2	0	0	1	0	3	2	1	4	5	0	1	1	0	1	0	1	1	0	2	4	4	1	1	2	2	0	0	0	1	5	1	0	0	2	12	0	0	1	0	1	0	1	0	0	0	2	8	1	3	0	0	2	0	0	5	0	3	1	3	4	6	1	0	0	0	1	3	0	1	0	2	0	4	0	8	6	2	1	0	7	0	0	0	0	0	0	6	1	1	5	0	0	0	1	2	1	0	1	0	3	0	3	4	1	1	0	0	0	0	0	2	4	0	3	0	6	1	0	1	2	0	0	1	0	3	0	0	3	0	0	0	0	2	0	0	1	2	1	2	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	2	1	1	5	2	0	2	4	0	4	0	0	2	0	0	0	0	2	0	2	0	0	0	0	5	4	2	1	3	2	2	2	0	0	0	17	0	0	0	5	14	1	4	4	0	0	0	0	0	0	0	2	3	2	1	1	0	0	1	0	0	1	3	1	3	1	2	0	2	0	3	2	15	4	2	0	0	0	0	0	2	2	2	0	0	1	1	0	1	1	0	0	1	4	0	0	0	0	8	0	1	2	4	0	1	0	4	1	2	0	4	7	0	0	0	0	0	0	0	0	2	0	0	2	5	0	0	0	5	0	1	0	1	0	1	1	0	0	1	1	0	5	0	1	0	0	0	2	0	0	0	1	1	0	1	0	9	1	4	0	0	0	0	0	1	0	0	3	4	0	0	1	9	0	0	0	0	0	1	0	0	17	5	0	0	0	4	3	0	1	2	0	0	1	2	0	2	1	4	0	2	2	0	2	0	0	1	1	0	2	8	0	1	0	0	0	0	0	1	0	1	4	0	2	0	0	0	0	0	4	0	0	2	0	0	14	7	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	6	1	0	0	8	1	0	0	0	3	0	0	2	1	2	0	0	0	1	0	6	0	0	2	1	1	12	7	1	1	12	6	7	2	0	0	0	0	6	2	5	0	1	6	1	2	1	2	3	1	0
PaulStamatiou.com - Technology, Design and Photography	3	6	14	22	0	2	7	13	23	8	0	2	36	6	17	16	30	5	24	14	4	8	69	8	5	22	67	6	7	13	17	34	11	17	3	17	58	22	16	7	39	13	37	57	11	17	2	9	7	3	7	17	2	16	28	14	1	13	0	11	29	5	1	1	2	6	6	19	1	4	7	6	6	15	4	3	7	0	4	9	12	8	1	44	5	11	0	1	10	21	27	8	2	6	2	0	20	3	5	42	4	5	0	62	9	8	0	9	56	12	17	3	16	22	5	3	31	14	7	3	1	18	1	4	5	4	7	20	15	10	18	0	0	2	15	2	6	2	2	2	40	0	33	7	32	33	23	16	0	41	6	20	3	12	2	2	0	32	11	28	1	10	3	10	7	4	3	8	13	28	1	42	18	17	2	3	44	2	0	1	4	96	9	8	5	22	7	9	17	5	10	26	0	3	8	13	20	19	5	3	13	4	4	2	45	1	11	1	16	5	3	25	8	7	0	4	2	4	11	22	3	6	6	8	2	47	43	23	26	4	52	8	2	7	0	12	2	8	15	14	1	6	4	1	3	0	10	9	25	15	2	14	0	1	0	22	32	48	7	10	3	0	4	23	0	5	5	20	1	4	8	8	6	6	3	17	4	60	6	5	3	7	2	0	7	3	26	27	3	2	9	0	2	8	68	6	78	29	1	0	7	3	6	2	2	18	5	10	0	3	3	6	6	4	2	6	15	17	42	8	4	1	36	2	2	12	4	1	68	8	12	3	0	2	8	7	4	18	9	2	5	11	4	0	0	0	4	3	1	21	10	3	20	5	20	5	4	10	8	0	13	3	30	3	14	18	5	14	4	10	14	2	2	5	3	3	11	2	8	18	59	12	17	6	5	0	12	5	14	5	27	18	0	4	16	5	80	5	2	8	4	3	16	0	25	81	32	5	50	15	15	33	12	12	17	4	18	14	10	6	22	3	4	19	2	12	0	19	7	1	11	0	7	38	86	8	4	0	2	2	8	2	7	2	0	34	5	13	5	1	10	6	8	4	5	21	12	4	13	71	46	4	0	0	2	4	4	83	9	1	4	4	15	2	20	16	3	4	2	4	8	6	3	47	6	6	12	1	9	7	19	1	13	3	2	45	55	42	0	29	6	1	43	45	6	2	32	20	2	16	7	6	4	3	34	3	14	1	3	7	18	20	10	15	1	17	1
Search Engine Roundtable	0	0	0	4	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	1	2	0	0	2	0	0	3	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	16	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	36	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	3	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	3	0	0	0	0	1	0	0	0
Copyblogger	0	0	1	2	0	0	0	0	0	1	0	1	0	1	0	2	0	0	3	1	0	1	0	1	0	1	0	1	0	2	0	1	0	1	1	0	3	1	1	0	2	0	0	2	0	0	0	1	2	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	3	0	0	0	0	0	1	0	0	3	0	0	0	2	2	0	0	0	0	0	0	3	2	0	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	2	0	0	0	1	0	0	0	0	0	0	0	10	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	3	0	0	0	1	0	0	0	2	2	0	0	2	0	0	0	11	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	21	0	0	0	1	1	1	0	0	0	0	10	0	4	1	0	1	0	0	2	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	11	0	1	0	1	0	0	0	0	0	6	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	2	0	0	1	1	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	1	0	0	5	4	0	0	0	0	0	3	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0
Joi Ito's Web	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	1	1	0	2	0	2	0	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	1	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	12	3	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	3	0	0	0	0	6	3	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	3	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Engadget RSS Feed	0	1	0	0	0	2	2	1	0	1	0	1	4	0	1	0	0	0	4	2	0	0	0	0	0	2	1	0	1	1	0	4	1	0	0	2	3	1	0	0	1	1	0	2	0	0	4	1	0	0	0	0	0	2	2	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	1	6	1	0	0	0	0	2	0	0	9	0	0	3	0	0	3	0	0	3	0	1	1	1	0	1	1	1	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	4	5	1	0	0	1	0	0	0	1	0	0	1	0	2	1	0	1	3	0	0	0	5	0	0	0	0	0	0	5	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	5	1	0	0	1	3	0	0	0	0	2	0	1	0	1	2	0	0	0	0	1	0	1	3	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	3	0	1	0	0	0	3	1	0	0	1	2	1	0	0	1	1	0	1	1	0	2	2	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	3	0	0	1	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	2	1	0	0	1	2	0	0	0	0	3	0	0	0	5	0	2	0	0	0	3	0	0	0	1	0	0	0	1	0	4	0	0	0	0	2	1	0	0	2	2	1	1	1	0	1	0	1	1	0	0	0	1	0	0	2	0	0	0	0	3	2	0	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	2	0	3	1	0	0	0	0	0	0	2	0	0	0	2	4	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	4	0	0	0	0	0	3	4	0	0	2	5	9	4	2	0	1	1	1	1	1	0	0	2	1	3	1	0	2	0	1	1	0	1	0	1	0	0	0	2	1	0	0	0
TMZ.com	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	2	0	4	0	0	1	1	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	4	2	0	2	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	3	0	1	0	5	0	0	2	0	4	2	0	1	0	0	0	0	3	0	0	0	2	1	0	0	0	0	2	0	0	0	1	0	3	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	4	0	1	0	0	0	1	9	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	2	0	0	3	1	1	0	0	4	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	2	1	1	0	2	1	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	2	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	2	0	7	0	0	0	1	1	2	0	1	0	0	2	0	2	0	1	0	0	0
A Consuming Experience (full feed)	0	0	0	14	0	0	0	1	12	0	2	0	10	2	1	2	1	2	6	4	0	1	1	0	6	3	14	2	4	12	5	8	1	0	0	0	13	0	0	1	6	0	3	26	1	4	3	0	45	0	1	3	2	2	13	4	0	0	0	0	0	0	0	0	1	0	0	4	2	0	0	4	2	0	2	0	0	0	8	5	10	3	0	10	0	0	1	4	5	21	0	0	0	3	0	1	7	3	4	1	0	3	0	20	0	0	0	13	1	1	0	0	7	2	0	0	7	10	5	2	0	11	1	3	1	1	0	19	1	0	1	0	0	0	1	1	10	3	0	21	12	0	12	0	38	7	2	2	0	16	0	2	0	0	1	0	1	11	0	14	0	0	0	6	28	0	0	0	0	3	0	12	9	0	0	4	1	1	0	1	2	17	1	0	0	0	0	1	1	2	0	2	0	3	6	0	0	2	0	0	0	3	1	1	3	0	1	1	0	0	0	3	2	0	0	3	0	1	0	3	7	2	2	10	3	4	2	5	1	0	14	4	3	7	0	15	0	21	2	3	0	2	1	0	0	0	9	2	7	0	2	0	0	1	0	5	2	0	0	0	0	0	0	18	0	0	1	11	4	0	0	0	0	0	0	13	1	2	0	0	0	0	3	0	1	0	17	1	4	0	0	2	0	0	1	2	56	19	10	0	3	0	0	0	1	3	0	13	0	0	0	29	0	0	0	3	2	1	9	1	0	0	7	0	0	3	0	0	17	0	1	3	0	0	5	3	0	15	5	0	1	0	13	0	0	0	3	0	4	4	0	0	1	1	2	0	0	4	0	0	1	4	0	0	0	7	2	9	5	0	2	0	0	1	0	0	0	2	1	13	4	0	8	2	0	1	0	1	3	0	11	1	2	5	0	17	18	0	0	4	11	1	5	0	0	5	0	1	10	1	1	9	0	2	4	5	1	1	7	9	3	1	1	4	0	1	0	5	0	0	3	0	0	11	17	2	0	0	0	1	13	0	1	0	0	2	0	13	0	0	0	6	1	0	5	0	5	5	15	41	23	0	0	0	1	0	3	0	13	1	2	0	1	2	4	1	1	0	1	2	0	0	0	0	2	4	0	0	3	4	0	4	5	0	0	0	22	1	0	6	2	4	0	5	0	0	3	14	2	2	9	2	0	1	15	0	3	7	0	13	1	3	0	4	0	0	0
Latest from Crooks and Liars	2	0	1	1	2	1	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	2	2	1	0	0	5	0	0	6	1	3	2	0	0	0	3	0	1	1	0	0	0	10	1	2	0	0	2	2	1	0	0	2	2	0	0	0	0	2	1	0	0	9	0	0	1	1	1	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	2	1	0	1	0	4	0	0	1	0	2	2	1	1	1	0	0	0	1	0	4	1	0	0	0	0	0	0	1	3	1	0	0	2	2	0	1	1	1	0	0	0	1	0	6	1	1	5	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	2	0	0	2	0	5	3	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	5	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	3	1	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	1	1	0	0	2	1	0	0	1	0	0	0	0	3	2	0	0	1	0	0	0	0	9	0	2	0	0	0	1	19	0	0	0	0	0	0	0	3	0	1	1	1	0	0	3	1	2	1	0	3	0	0	2	0	2	1	3	0	1	0	10	1	1	0	0	1	4	1	0	0	0	0	0	0	0	2	0	0	3	2	2	0	1	0	0	1	0	1	3	0	0	0	4	0	0	2	2	0	0	0	1	1	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	5	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	1	2	0	1	2	1	0	1	0	0	2	0	2	0	0	0	0	0	0	2	0	2	0	0	1	0	0	4	0	0	1	0	1	1	0	1	0	0	0	1	2	2	0	4	0	0	0	0	2	2	5	0	1	4	3	0	0	0	0	1	0	0	0	0	4	0	1	0	0	0	0	1	0	0	0	1	2	0	1	2	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	9	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	8	2	4	0	0	0	2	1	3	0	1	1	2	1	0	1	0	2	2	0	1
Publishing 2.0	0	1	2	7	0	0	0	0	1	6	1	0	8	0	1	0	2	0	3	3	0	1	3	0	0	1	5	1	0	6	1	5	1	0	0	0	2	1	1	0	0	0	1	13	2	0	4	1	2	1	21	1	0	3	4	6	0	0	4	2	4	0	0	0	0	9	6	0	2	0	0	5	0	0	0	3	0	3	4	0	1	0	0	1	1	0	1	0	2	2	5	0	0	3	0	0	1	2	0	1	14	0	2	2	6	1	0	0	0	1	5	0	2	0	2	1	5	2	0	2	0	4	1	0	0	1	0	6	1	1	22	1	1	3	0	2	1	0	0	0	1	0	0	0	2	1	2	0	0	2	5	10	0	1	0	0	0	9	1	4	0	1	1	2	0	0	1	0	1	1	0	7	2	1	4	2	1	2	0	0	9	1	0	5	2	5	14	2	0	1	0	0	7	3	2	0	0	2	0	0	3	0	1	0	11	1	2	0	1	2	0	2	1	2	0	0	0	0	0	0	0	2	0	2	1	0	2	2	2	2	5	0	0	2	3	1	4	0	2	0	9	0	0	0	2	0	2	1	2	0	1	1	0	0	0	2	13	7	0	8	10	0	0	2	8	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	15	2	1	3	0	6	5	1	0	1	0	2	3	0	1	10	4	2	2	1	0	0	0	1	0	3	3	0	0	1	0	0	2	0	1	1	2	9	5	0	3	0	0	0	1	1	0	6	8	3	1	1	0	2	0	1	0	0	3	0	0	0	0	7	1	0	0	1	4	1	3	5	1	1	1	1	1	1	0	0	1	0	1	0	13	1	1	0	2	1	0	0	0	0	0	2	0	4	1	9	2	2	0	1	0	0	1	0	3	2	0	3	5	0	0	7	1	0	0	2	0	2	0	0	2	0	0	1	4	2	4	1	1	3	2	0	3	1	1	2	0	0	1	0	57	0	5	1	1	2	0	0	5	3	1	1	0	5	1	1	0	0	0	0	3	0	1	2	0	2	2	0	1	0	5	1	1	6	7	11	0	2	0	0	0	0	0	0	0	2	0	1	0	2	0	0	4	5	1	4	1	0	0	1	0	1	4	1	4	1	0	0	1	0	0	2	4	0	0	1	1	7	8	2	5	6	12	2	9	0	0	0	2	7	0	2	3	0	5	0	2	0	0	1	0	2
